"Runing time","MQ-8","MQ-9","Moisture","UV","Humidity","Temperature","Pressure","Approx Altitude","pH"
"0 "," 255.27 "," 287.31 "," 42.99 "," 66.04 "," 86.10 "," 23.50 "," 1013.64 "," 312.25 "," 0.00"
"1 "," 256.88 "," 289.68 "," 42.47 "," 65.65 "," 86.10 "," 23.50 "," 1013.68 "," 311.94 "," 0.00"
"1 "," 255.83 "," 286.84 "," 43.01 "," 66.62 "," 86.10 "," 23.50 "," 1013.69 "," 311.86 "," 0.14"
"2 "," 250.93 "," 282.08 "," 41.97 "," 64.85 "," 86.10 "," 23.50 "," 1013.63 "," 312.37 "," 0.27"
"3 "," 254.00 "," 285.72 "," 42.90 "," 66.03 "," 86.10 "," 23.50 "," 1013.66 "," 312.13 "," 0.41"
"4 "," 252.76 "," 283.00 "," 42.52 "," 65.97 "," 86.10 "," 23.50 "," 1013.66 "," 312.09 "," 0.55"
"5 "," 254.16 "," 283.55 "," 42.91 "," 66.43 "," 85.90 "," 23.40 "," 1013.65 "," 312.16 "," 0.68"
"6 "," 254.67 "," 286.06 "," 43.06 "," 68.10 "," 85.90 "," 23.40 "," 1013.67 "," 312.03 "," 0.82"
"7 "," 249.98 "," 277.28 "," 41.47 "," 64.52 "," 85.90 "," 23.40 "," 1013.68 "," 311.92 "," 0.96"
"7 "," 259.64 "," 293.06 "," 43.92 "," 68.69 "," 86.10 "," 23.50 "," 1013.69 "," 311.86 "," 1.10"
"8 "," 262.11 "," 295.03 "," 43.99 "," 69.04 "," 86.10 "," 23.50 "," 1013.67 "," 311.97 "," 1.24"
"9 "," 264.17 "," 296.97 "," 44.09 "," 69.60 "," 86.10 "," 23.50 "," 1013.66 "," 312.06 "," 1.38"
"10 "," 264.99 "," 295.97 "," 44.02 "," 69.47 "," 86.00 "," 23.50 "," 1013.66 "," 312.10 "," 1.52"
"11 "," 266.43 "," 297.00 "," 44.16 "," 69.80 "," 86.00 "," 23.50 "," 1013.67 "," 311.97 "," 1.67"
"12 "," 267.10 "," 297.28 "," 44.03 "," 69.70 "," 86.00 "," 23.50 "," 1013.68 "," 311.90 "," 1.81"
"13 "," 268.19 "," 297.98 "," 44.19 "," 69.89 "," 85.90 "," 23.50 "," 1013.70 "," 311.75 "," 1.95"
"14 "," 268.67 "," 297.08 "," 44.05 "," 69.76 "," 85.90 "," 23.50 "," 1013.61 "," 312.46 "," 2.10"
"14 "," 269.28 "," 297.95 "," 44.11 "," 69.87 "," 85.90 "," 23.50 "," 1013.66 "," 312.07 "," 2.24"
"15 "," 270.07 "," 298.03 "," 44.33 "," 69.95 "," 85.90 "," 23.50 "," 1013.68 "," 311.92 "," 2.38"
"16 "," 270.16 "," 297.50 "," 44.05 "," 69.93 "," 85.90 "," 23.50 "," 1013.65 "," 312.16 "," 2.53"
"17 "," 270.97 "," 297.80 "," 44.13 "," 69.94 "," 85.90 "," 23.50 "," 1013.67 "," 312.00 "," 2.67"
"18 "," 271.10 "," 297.98 "," 44.10 "," 69.98 "," 85.80 "," 23.50 "," 1013.64 "," 312.23 "," 2.82"
"19 "," 271.86 "," 297.91 "," 44.17 "," 70.05 "," 85.80 "," 23.50 "," 1013.67 "," 312.00 "," 2.96"
"20 "," 273.02 "," 297.96 "," 44.37 "," 70.36 "," 85.80 "," 23.50 "," 1013.66 "," 312.05 "," 3.10"
"21 "," 273.52 "," 298.24 "," 44.52 "," 70.68 "," 85.90 "," 23.50 "," 1013.70 "," 312.00 "," 3.25"
"21 "," 273.54 "," 297.81 "," 44.36 "," 70.62 "," 85.90 "," 23.50 "," 1013.68 "," 311.91 "," 3.39"
"22 "," 273.24 "," 297.64 "," 44.29 "," 70.62 "," 85.90 "," 23.50 "," 1013.67 "," 312.03 "," 3.54"
"23 "," 273.49 "," 297.58 "," 44.29 "," 70.39 "," 85.90 "," 23.50 "," 1013.70 "," 311.74 "," 3.68"
"24 "," 273.54 "," 297.00 "," 44.26 "," 70.61 "," 85.90 "," 23.50 "," 1013.66 "," 312.12 "," 3.82"
"25 "," 273.83 "," 297.31 "," 44.37 "," 70.83 "," 85.90 "," 23.50 "," 1013.67 "," 312.00 "," 3.97"
"26 "," 273.87 "," 296.99 "," 44.30 "," 70.78 "," 85.90 "," 23.50 "," 1013.68 "," 311.95 "," 4.11"
"27 "," 273.96 "," 297.04 "," 44.35 "," 71.08 "," 85.90 "," 23.50 "," 1013.68 "," 311.93 "," 4.25"
"28 "," 273.96 "," 297.00 "," 44.29 "," 71.04 "," 85.90 "," 23.50 "," 1013.63 "," 312.35 "," 4.40"
"28 "," 274.01 "," 297.35 "," 44.29 "," 71.35 "," 85.90 "," 23.50 "," 1013.64 "," 312.27 "," 4.54"
"29 "," 274.01 "," 297.00 "," 44.38 "," 71.27 "," 85.90 "," 23.50 "," 1013.64 "," 312.29 "," 4.69"
"30 "," 274.03 "," 296.00 "," 44.37 "," 71.45 "," 85.90 "," 23.50 "," 1013.66 "," 312.10 "," 4.83"
"31 "," 274.01 "," 295.83 "," 44.41 "," 71.68 "," 86.00 "," 23.50 "," 1013.64 "," 312.22 "," 4.97"
"32 "," 273.98 "," 295.82 "," 44.31 "," 71.69 "," 86.00 "," 23.50 "," 1013.67 "," 311.97 "," 5.12"
"33 "," 274.07 "," 296.04 "," 44.38 "," 71.91 "," 86.00 "," 23.50 "," 1013.66 "," 312.22 "," 5.26"
"34 "," 274.13 "," 296.49 "," 44.34 "," 71.83 "," 86.00 "," 23.50 "," 1013.65 "," 312.19 "," 5.41"
"34 "," 274.09 "," 296.00 "," 44.42 "," 71.84 "," 86.00 "," 23.50 "," 1013.65 "," 312.17 "," 5.42"
"35 "," 274.05 "," 295.98 "," 44.38 "," 71.80 "," 86.00 "," 23.50 "," 1013.66 "," 312.05 "," 5.42"
"36 "," 273.75 "," 295.68 "," 44.15 "," 71.82 "," 86.00 "," 23.50 "," 1013.67 "," 312.00 "," 5.43"
"37 "," 272.99 "," 294.62 "," 44.22 "," 71.57 "," 86.00 "," 23.50 "," 1013.69 "," 311.85 "," 5.44"
"38 "," 272.98 "," 294.58 "," 44.00 "," 71.73 "," 86.00 "," 23.50 "," 1013.65 "," 312.14 "," 5.44"
"39 "," 272.50 "," 294.06 "," 44.22 "," 71.93 "," 86.00 "," 23.50 "," 1013.68 "," 311.89 "," 5.45"
"40 "," 272.03 "," 294.06 "," 44.04 "," 71.86 "," 86.00 "," 23.50 "," 1013.67 "," 311.99 "," 5.46"
"41 "," 272.00 "," 293.53 "," 44.13 "," 71.97 "," 86.00 "," 23.50 "," 1013.66 "," 312.07 "," 5.46"
"41 "," 272.00 "," 294.04 "," 44.04 "," 72.06 "," 86.00 "," 23.50 "," 1013.65 "," 312.20 "," 5.46"
"42 "," 272.01 "," 294.22 "," 44.03 "," 72.23 "," 86.00 "," 23.50 "," 1013.64 "," 312.25 "," 5.46"
"43 "," 272.01 "," 293.29 "," 44.12 "," 72.12 "," 86.00 "," 23.50 "," 1013.65 "," 312.13 "," 5.46"
"44 "," 272.15 "," 293.92 "," 44.16 "," 72.36 "," 85.90 "," 23.40 "," 1013.66 "," 312.09 "," 5.46"
"45 "," 272.31 "," 293.96 "," 44.22 "," 72.61 "," 85.90 "," 23.40 "," 1013.63 "," 312.35 "," 5.46"
